Customer_id,Tenure,Monthly_charges,Total_charges,Contract,Payment_method,Internet_service,Tech_support,Online_security,Support_calls,Churn,Tenure_category,Consumption_category,Support_calls_category,Churn_predict,Probability,Risc_seg
1,52,54.2,2818.4,Month-to-month,Credit,Dsl,No,Yes,1,0,Loyal (36-60),Medium,Stable(0-2),0,0.1607507535131519,Low
2,15,35.28,529.2,Month-to-month,Debit,Dsl,No,No,2,0,Adapting (12-24),Medium,Stable(0-2),0,0.14111395510104494,Low
3,72,78.24,5633.28,Month-to-month,Debit,Dsl,No,No,0,0,Veteran (+60),High,Stable(0-2),0,0.2568397556451186,Low
4,61,80.24,4894.64,One year,Cash,Fiber,Yes,Yes,0,0,Veteran (+60),High,Stable(0-2),0,0.1207023495678129,Low
5,21,39.38,826.98,Month-to-month,Upi,Fiber,No,No,4,1,Adapting (12-24),Medium,Atention(2-4),1,0.706277495633221,High
6,24,39.66,951.84,Two year,Cash,Fiber,No,No,1,0,Stable (24-36),Medium,Stable(0-2),0,0.1658582032667721,Low
7,3,118.95,356.85,Month-to-month,Credit,Dsl,No,No,2,1,New (0-12),High,Stable(0-2),1,0.7919598368185188,High
8,22,44.33,975.26,Month-to-month,Debit,Fiber,Yes,Yes,0,0,Adapting (12-24),Medium,Stable(0-2),0,0.11366446227970335,Low
9,53,103.82,5502.46,Month-to-month,Upi,Fiber,Yes,Yes,1,0,Loyal (36-60),High,Stable(0-2),0,0.28014595336752585,Low
10,2,67.03,134.06,Two year,Credit,Dsl,No,Yes,2,0,New (0-12),Medium,Stable(0-2),0,0.31593782006832366,Medium
11,30,63.5,1905.0,One year,Cash,Dsl,No,Yes,1,0,Stable (24-36),Medium,Stable(0-2),0,0.1441034666006666,Low
12,38,49.5,1881.0,Month-to-month,Debit,Unknow,No,Yes,1,1,Loyal (36-60),Medium,Stable(0-2),0,0.16410299470089973,Low
13,2,97.38,194.76,Month-to-month,Cash,Dsl,No,Yes,2,1,New (0-12),High,Stable(0-2),1,0.8993392487054898,High
14,64,108.07,6916.48,Month-to-month,Debit,Dsl,Yes,No,1,0,Veteran (+60),High,Stable(0-2),0,0.17355931802152177,Low
15,60,46.11,2766.6,One year,Debit,Fiber,No,Yes,0,0,Veteran (+60),Medium,Stable(0-2),0,0.17210696085971353,Low
